student_id,total_time_spent,total_events,avg_time_per_event,active_days,access_frequency,avg_quiz_score,quiz_attempt_count,quiz_score_std,avg_quiz_time,avg_assignment_score,late_submission_ratio,assignment_count,avg_final_grade,failed_courses,risk_cluster,risk_level,generic_recommendation
S022,175579,390,450.2025641,115,3.391304348,6.401914784,178,1.993005899,451.2921348,8.230634037,0.181818182,11,6.233323025,0,0,Low Risk,Maintain current study habits. Explore advanced materials and optional challenges.
S023,177504,380,467.1157895,114,3.333333333,6.502950039,184,2.051541895,449.375,6.47468844,0.285714286,7,6.742031445,1,0,Low Risk,Maintain current study habits. Explore advanced materials and optional challenges.
S024,137392,290,473.7655172,108,2.685185185,6.551299348,139,2.01914727,471.942446,7.390428049,0.125,8,6.629592352,1,0,Low Risk,Maintain current study habits. Explore advanced materials and optional challenges.
S025,67702,160,423.1375,88,1.818181818,6.226709119,79,1.84516868,400.1392405,7.168372948,0.454545455,11,7.699235316,0,2,Medium Risk,Increase consistency. Focus on weak topics and follow a structured study plan.
S026,181211,390,464.6435897,115,3.391304348,6.443773502,184,2.033995211,476.2173913,7.265248857,0.2,10,5.620317851,3,0,Low Risk,Maintain current study habits. Explore advanced materials and optional challenges.
S027,100135,210,476.8333333,96,2.1875,6.26422591,113,1.932522407,425.9380531,6.00968239,0.181818182,11,7.798604479,0,2,Medium Risk,Increase consistency. Focus on weak topics and follow a structured study plan.
S028,161269,340,474.3205882,109,3.119266055,6.293637122,124,1.945964645,479.5322581,7.250806939,0.2,10,6.655950348,1,0,Low Risk,Maintain current study habits. Explore advanced materials and optional challenges.
S029,142065,290,489.8793103,107,2.710280374,6.631860731,136,1.995540592,525.2794118,6.293058194,0.285714286,7,7.13007958,0,0,Low Risk,Maintain current study habits. Explore advanced materials and optional challenges.
S030,176922,390,453.6461538,115,3.391304348,6.437072938,155,2.029156654,477.8129032,6.758870517,0.222222222,9,6.738961012,1,0,Low Risk,Maintain current study habits. Explore advanced materials and optional challenges.
S031,136903,290,472.0793103,111,2.612612613,6.268152117,93,2.012854221,481.1612903,7.547911892,0.090909091,11,7.150346274,0,0,Low Risk,Maintain current study habits. Explore advanced materials and optional challenges.
S032,167634,380,441.1421053,115,3.304347826,6.50056179,156,2.089080362,474.0769231,7.248924765,0.3,10,6.378845861,1,0,Low Risk,Maintain current study habits. Explore advanced materials and optional challenges.
S033,158275,340,465.5147059,113,3.008849558,6.304440646,177,2.127151551,454.6666667,6.596577434,0.2,10,5.439569849,1,0,Low Risk,Maintain current study habits. Explore advanced materials and optional challenges.
S034,164780,380,433.6315789,117,3.247863248,6.337326282,168,2.208019379,406.922619,6.728623972,0.333333333,9,6.858303583,0,0,Low Risk,Maintain current study habits. Explore advanced materials and optional challenges.
S035,137885,300,459.6166667,111,2.702702703,6.526731825,127,2.0687162,451.9370079,7.221561116,0.181818182,11,6.035707212,1,0,Low Risk,Maintain current study habits. Explore advanced materials and optional challenges.
S036,148152,300,493.84,107,2.803738318,6.439000034,120,1.91666471,519.7333333,6.26057829,0.2,10,6.809578552,0,0,Low Risk,Maintain current study habits. Explore advanced materials and optional challenges.
S037,137868,300,459.56,111,2.702702703,6.509308498,79,2.031810424,458.2658228,7.589846049,0.125,8,5.076141136,2,2,Medium Risk,Increase consistency. Focus on weak topics and follow a structured study plan.
S038,159230,330,482.5151515,115,2.869565217,6.550810807,142,2.04421997,467.1197183,6.007249488,0.166666667,6,6.94357109,0,0,Low Risk,Maintain current study habits. Explore advanced materials and optional challenges.
S039,148847,330,451.0515152,112,2.946428571,6.710464369,153,2.062141675,433.745098,6.811621164,0.125,8,7.39807318,1,0,Low Risk,Maintain current study habits. Explore advanced materials and optional challenges.
S040,151841,340,446.5911765,112,3.035714286,6.585656044,176,1.999602745,484.1534091,6.374485346,0.333333333,6,6.502270069,1,0,Low Risk,Maintain current study habits. Explore advanced materials and optional challenges.
S041,136790,290,471.6896552,108,2.685185185,5.946239492,111,1.893814994,479.9369369,6.282907475,0.142857143,7,6.074151561,2,2,Medium Risk,Increase consistency. Focus on weak topics and follow a structured study plan.
S042,151005,340,444.1323529,116,2.931034483,6.639202159,193,2.013696661,448.9170984,7.078212025,0.2,5,6.445458421,1,0,Low Risk,Maintain current study habits. Explore advanced materials and optional challenges.
S043,166233,340,488.9205882,114,2.98245614,6.436551594,105,2.116954073,515.8952381,6.714899828,0,10,6.581899084,0,0,Low Risk,Maintain current study habits. Explore advanced materials and optional challenges.
S044,114312,250,457.248,104,2.403846154,6.554042505,78,2.036388673,429.9871795,6.836608214,0.333333333,12,5.135411947,3,2,Medium Risk,Increase consistency. Focus on weak topics and follow a structured study plan.
S045,103452,210,492.6285714,100,2.1,6.41883967,111,2.155783791,507.9009009,6.160805821,0.5,4,5.051307824,3,2,Medium Risk,Increase consistency. Focus on weak topics and follow a structured study plan.
S046,164639,340,484.2323529,113,3.008849558,6.45679204,137,1.930376285,494.189781,6.625983712,0.2,10,5.943370771,2,0,Low Risk,Maintain current study habits. Explore advanced materials and optional challenges.
S047,194281,430,451.8162791,119,3.613445378,6.501563423,167,2.035131096,459.9820359,8.597636673,0.625,8,6.713986678,0,0,Low Risk,Maintain current study habits. Explore advanced materials and optional challenges.
S048,183890,390,471.5128205,113,3.451327434,6.457668793,174,2.052262218,502.3218391,7.598872727,0.375,8,6.176005578,1,0,Low Risk,Maintain current study habits. Explore advanced materials and optional challenges.
S049,143614,300,478.7133333,108,2.777777778,6.205015268,141,2.024691513,459.4751773,7.518879482,0.333333333,9,6.141157447,1,0,Low Risk,Maintain current study habits. Explore advanced materials and optional challenges.
S050,144798,340,425.8764706,113,3.008849558,6.223851,153,1.950957033,403.2418301,6.488229702,0.181818182,11,6.523833056,0,0,Low Risk,Maintain current study habits. Explore advanced materials and optional challenges.
S051,77400,160,483.75,85,1.882352941,6.241016218,65,2.128928835,471.2923077,6.994596455,0.3,10,6.540577135,0,2,Medium Risk,Increase consistency. Focus on weak topics and follow a structured study plan.
S052,165741,340,487.4735294,113,3.008849558,6.713179999,153,1.990063029,480.2745098,7.395630829,0.333333333,9,6.419526308,0,0,Low Risk,Maintain current study habits. Explore advanced materials and optional challenges.
S053,179129,380,471.3921053,117,3.247863248,6.624943558,134,1.912776489,473.4402985,6.782825281,0.363636364,11,6.348366798,0,0,Low Risk,Maintain current study habits. Explore advanced materials and optional challenges.
S054,131517,290,453.5068966,106,2.735849057,6.706463131,103,1.971304411,410.7572816,6.154618062,0.375,8,5.919802095,2,2,Medium Risk,Increase consistency. Focus on weak topics and follow a structured study plan.
S055,155288,340,456.7294118,112,3.035714286,6.557573111,96,2.160200171,497.3958333,7.40575204,0.2,10,6.033199008,1,0,Low Risk,Maintain current study habits. Explore advanced materials and optional challenges.
S056,111591,240,464.9625,105,2.285714286,6.255887018,85,1.990255976,476.3647059,6.746278434,0.111111111,9,6.887586225,1,2,Medium Risk,Increase consistency. Focus on weak topics and follow a structured study plan.
S057,154637,330,468.5969697,111,2.972972973,6.390906939,138,1.978203142,465.3043478,6.76698735,0.2,10,5.866920802,2,0,Low Risk,Maintain current study habits. Explore advanced materials and optional challenges.
S058,113987,250,455.948,108,2.314814815,6.589266931,136,1.87331115,450.8161765,7.160030353,0.333333333,6,7.761896353,0,2,Medium Risk,Increase consistency. Focus on weak topics and follow a structured study plan.
S059,72164,160,451.025,83,1.927710843,6.578763861,64,1.863887156,423.875,6.59771273,0.25,12,7.819868876,0,2,Medium Risk,Increase consistency. Focus on weak topics and follow a structured study plan.
S060,112179,250,448.716,101,2.475247525,6.42590293,89,2.056469495,440.0786517,6.472095214,0,8,5.536552088,2,2,Medium Risk,Increase consistency. Focus on weak topics and follow a structured study plan.
S061,174051,380,458.0289474,116,3.275862069,6.445741543,156,2.06276948,451.6538462,7.450214807,0.4,10,5.399476778,2,0,Low Risk,Maintain current study habits. Explore advanced materials and optional challenges.
S062,175136,380,460.8842105,115,3.304347826,6.520016412,152,2.049444969,470.9671053,6.463932785,0.181818182,11,5.998675878,1,0,Low Risk,Maintain current study habits. Explore advanced materials and optional challenges.
S063,139194,300,463.98,108,2.777777778,6.607834347,119,1.838945369,486.2436975,7.243539891,0,9,7.252337028,0,0,Low Risk,Maintain current study habits. Explore advanced materials and optional challenges.
S064,111554,250,446.216,107,2.336448598,6.655549916,111,1.910555003,436.6036036,7.123525299,0.444444444,9,6.16993222,1,2,Medium Risk,Increase consistency. Focus on weak topics and follow a structured study plan.
S065,138228,290,476.6482759,110,2.636363636,6.439388497,122,1.931536029,470.7786885,6.460710618,0,9,5.387926445,3,2,Medium Risk,Increase consistency. Focus on weak topics and follow a structured study plan.
S066,198114,430,460.7302326,118,3.644067797,6.286345341,193,2.057597029,433.626943,7.060817171,0.25,8,5.144640923,2,0,Low Risk,Maintain current study habits. Explore advanced materials and optional challenges.
S067,217523,480,453.1729167,119,4.033613445,6.377501613,173,1.801602955,447.7572254,7.282420198,0.285714286,7,6.765540154,1,0,Low Risk,Maintain current study habits. Explore advanced materials and optional challenges.
S068,159579,340,469.35,113,3.008849558,6.435344619,158,2.109215139,476.4303797,5.881208152,0.375,8,6.447373105,1,0,Low Risk,Maintain current study habits. Explore advanced materials and optional challenges.
S069,161553,340,475.1558824,115,2.956521739,6.659606742,161,2.069071372,467.9565217,6.780733494,0.2,10,6.446901259,2,0,Low Risk,Maintain current study habits. Explore advanced materials and optional challenges.
S070,57026,120,475.2166667,70,1.714285714,6.101838792,38,2.065907747,500.7105263,8.042725432,0.2,10,7.051873115,0,2,Medium Risk,Increase consistency. Focus on weak topics and follow a structured study plan.
S071,162128,340,476.8470588,106,3.20754717,6.466703894,135,2.125441841,459.2888889,6.656089266,0.285714286,7,6.099358531,1,0,Low Risk,Maintain current study habits. Explore advanced materials and optional challenges.
S072,114822,250,459.288,113,2.212389381,6.434894423,105,1.982132137,451.6380952,7.0024833,0,7,6.347298612,1,2,Medium Risk,Increase consistency. Focus on weak topics and follow a structured study plan.
S073,112013,250,448.052,106,2.358490566,6.701328986,72,2.224930291,451.3611111,7.598694523,0.2,10,4.941506719,2,2,Medium Risk,Increase consistency. Focus on weak topics and follow a structured study plan.
S074,136662,290,471.2482759,107,2.710280374,6.363585036,110,1.98653233,481.8090909,7.058447787,0.111111111,9,7.237302175,0,0,Low Risk,Maintain current study habits. Explore advanced materials and optional challenges.
S075,132203,290,455.8724138,106,2.735849057,6.335754815,79,1.949197009,433.5949367,6.581586598,0.222222222,9,6.838463574,1,2,Medium Risk,Increase consistency. Focus on weak topics and follow a structured study plan.
S076,94821,200,474.105,95,2.105263158,6.488793908,62,2.072007528,495.4032258,6.409140379,0.333333333,6,6.770760449,1,2,Medium Risk,Increase consistency. Focus on weak topics and follow a structured study plan.
S077,159298,340,468.5235294,117,2.905982906,6.229179802,163,2.073193384,460.8220859,5.840795791,0.142857143,7,6.092915226,0,0,Low Risk,Maintain current study habits. Explore advanced materials and optional challenges.
S078,199635,430,464.2674419,115,3.739130435,6.552722548,142,2.034617485,461.2112676,6.663142788,0.111111111,9,5.809804969,2,0,Low Risk,Maintain current study habits. Explore advanced materials and optional challenges.
S079,145760,340,428.7058824,113,3.008849558,6.600363366,86,1.850391292,401.5116279,6.50735651,0.090909091,11,5.392350381,1,0,Low Risk,Maintain current study habits. Explore advanced materials and optional challenges.
S080,176760,390,453.2307692,117,3.333333333,6.39089094,175,2.101595756,480.4857143,7.168198234,0.181818182,11,6.882431287,0,0,Low Risk,Maintain current study habits. Explore advanced materials and optional challenges.
S081,73904,160,461.9,97,1.649484536,6.011952359,70,1.689660747,482.2285714,7.667368049,0.2,5,5.918049131,1,2,Medium Risk,Increase consistency. Focus on weak topics and follow a structured study plan.
S082,192563,380,506.7447368,117,3.247863248,6.792662142,170,1.915551407,499.4411765,6.754947246,0,9,6.536541654,2,0,Low Risk,Maintain current study habits. Explore advanced materials and optional challenges.
S083,154200,340,453.5294118,113,3.008849558,6.512377458,144,1.961697841,457.6041667,7.164167054,0.363636364,11,6.140564005,0,0,Low Risk,Maintain current study habits. Explore advanced materials and optional challenges.
S084,119533,250,478.132,104,2.403846154,6.55462487,120,1.969729395,454.9166667,6.481513428,0.090909091,11,6.056711611,2,2,Medium Risk,Increase consistency. Focus on weak topics and follow a structured study plan.
S085,119886,250,479.544,104,2.403846154,6.304081924,97,2.060365844,493.257732,7.533876371,0.333333333,9,5.726838957,1,2,Medium Risk,Increase consistency. Focus on weak topics and follow a structured study plan.
S086,93692,200,468.46,99,2.02020202,6.084725033,74,2.000658133,470.3783784,6.340991949,0.1,10,7.041363062,0,2,Medium Risk,Increase consistency. Focus on weak topics and follow a structured study plan.
S087,155789,340,458.2029412,113,3.008849558,6.58186661,127,1.954566126,441.992126,7.770269293,0.416666667,12,5.202464987,1,0,Low Risk,Maintain current study habits. Explore advanced materials and optional challenges.
S088,136669,290,471.2724138,104,2.788461538,6.125919723,103,2.017390529,423.184466,7.785262891,0.444444444,9,5.991415545,1,2,Medium Risk,Increase consistency. Focus on weak topics and follow a structured study plan.
S089,139545,290,481.1896552,112,2.589285714,6.877318932,104,2.021326059,500.3269231,7.430805741,0.142857143,7,7.751962318,0,0,Low Risk,Maintain current study habits. Explore advanced materials and optional challenges.
S090,95396,200,476.98,99,2.02020202,6.381847825,85,2.066157857,478.2588235,7.872097014,0,10,5.143014772,2,2,Medium Risk,Increase consistency. Focus on weak topics and follow a structured study plan.
S091,207098,430,481.6232558,115,3.739130435,6.381156643,123,2.078466282,465.804878,6.847861717,0.3,10,6.768930655,0,0,Low Risk,Maintain current study habits. Explore advanced materials and optional challenges.
S092,155828,340,458.3176471,113,3.008849558,6.411834513,127,1.999832429,466.6377953,7.369215906,0.5,8,7.046708939,1,0,Low Risk,Maintain current study habits. Explore advanced materials and optional challenges.
S093,72999,160,456.24375,86,1.860465116,6.333651522,60,1.935022889,463.5666667,7.491049571,0.090909091,11,5.914463349,0,2,Medium Risk,Increase consistency. Focus on weak topics and follow a structured study plan.
S094,95754,210,455.9714286,97,2.164948454,6.446351086,62,1.972762345,468.8387097,6.967318211,0,10,5.449193342,2,2,Medium Risk,Increase consistency. Focus on weak topics and follow a structured study plan.
S095,112676,250,450.704,107,2.336448598,6.59434805,78,2.108620538,522.8461538,6.636542851,0.3,10,6.292016018,1,2,Medium Risk,Increase consistency. Focus on weak topics and follow a structured study plan.
S096,118943,250,475.772,101,2.475247525,6.346371965,97,2.183286545,472.0824742,6.691523908,0.083333333,12,6.483365867,1,2,Medium Risk,Increase consistency. Focus on weak topics and follow a structured study plan.
S097,93018,200,465.09,98,2.040816327,6.839686038,79,1.890260833,449.8481013,7.444418089,0.75,4,7.586996056,1,2,Medium Risk,Increase consistency. Focus on weak topics and follow a structured study plan.
S098,147259,300,490.8633333,110,2.727272727,6.655820137,97,2.143515961,490.6391753,6.650649145,0,11,7.550817392,0,0,Low Risk,Maintain current study habits. Explore advanced materials and optional challenges.
S099,112176,250,448.704,104,2.403846154,6.512579855,119,2.0357973,435.2521008,7.337762894,0.1,10,6.225247146,1,2,Medium Risk,Increase consistency. Focus on weak topics and follow a structured study plan.
S100,130060,290,448.4827586,113,2.566371681,6.511110556,95,2.059565622,453.3789474,7.560250464,0.1,10,7.155481581,0,0,Low Risk,Maintain current study habits. Explore advanced materials and optional challenges.
S101,136972,300,456.5733333,112,2.678571429,6.294201427,119,1.9050892,464.6218487,7.18298584,0.1,10,6.217908266,1,0,Low Risk,Maintain current study habits. Explore advanced materials and optional challenges.
S102,115344,250,461.376,101,2.475247525,6.694209058,73,1.857526266,456.0547945,6.786162242,0,10,6.081867116,2,2,Medium Risk,Increase consistency. Focus on weak topics and follow a structured study plan.
S103,174386,380,458.9105263,115,3.304347826,6.432350084,203,2.088280498,450.7586207,6.633085445,0.142857143,7,7.745964046,0,0,Low Risk,Maintain current study habits. Explore advanced materials and optional challenges.
S104,67277,160,420.48125,84,1.904761905,6.549583376,51,2.267391707,419.2156863,7.377053222,0.272727273,11,5.807356425,1,2,Medium Risk,Increase consistency. Focus on weak topics and follow a structured study plan.
S105,122989,290,424.1,110,2.636363636,6.19527915,78,1.937656994,450.4102564,8.171544468,0.111111111,9,6.826039083,1,2,Medium Risk,Increase consistency. Focus on weak topics and follow a structured study plan.
S106,172027,390,441.0948718,118,3.305084746,6.735750691,213,1.984948498,424.6901408,6.135189875,0.166666667,6,5.98992869,1,0,Low Risk,Maintain current study habits. Explore advanced materials and optional challenges.
S107,117500,250,470,107,2.336448598,6.597605252,109,2.117961115,480.0642202,7.216710953,0,11,7.300561135,1,2,Medium Risk,Increase consistency. Focus on weak topics and follow a structured study plan.
S108,117711,250,470.844,107,2.336448598,6.625636268,124,2.153282546,498.5080645,7.587563204,0.2,10,5.930402308,1,2,Medium Risk,Increase consistency. Focus on weak topics and follow a structured study plan.
S109,105733,210,503.4904762,96,2.1875,6.167484834,69,1.89240306,492.6666667,6.103043009,0.333333333,6,6.760200707,0,2,Medium Risk,Increase consistency. Focus on weak topics and follow a structured study plan.
S110,120724,250,482.896,105,2.380952381,6.456751757,78,2.057369076,466.974359,7.047298097,0.3,10,6.396216623,2,2,Medium Risk,Increase consistency. Focus on weak topics and follow a structured study plan.
S111,142953,300,476.51,107,2.803738318,6.652907108,117,1.981706197,472.2136752,6.191491081,0.4,10,6.232215387,0,0,Low Risk,Maintain current study habits. Explore advanced materials and optional challenges.
S112,94588,200,472.94,97,2.06185567,6.585197522,83,1.985739254,470.0963855,7.439308123,0.090909091,11,6.735040331,1,2,Medium Risk,Increase consistency. Focus on weak topics and follow a structured study plan.
S113,154496,340,454.4,113,3.008849558,6.24473156,115,2.233261367,431.5130435,7.420689777,0.181818182,11,7.413512621,1,0,Low Risk,Maintain current study habits. Explore advanced materials and optional challenges.
S114,87997,200,439.985,95,2.105263158,6.584124109,100,1.953862506,410.45,7.252332043,0.166666667,6,7.108679849,1,2,Medium Risk,Increase consistency. Focus on weak topics and follow a structured study plan.
S115,127588,250,510.352,108,2.314814815,6.233811468,96,1.882816748,515.2708333,6.190399132,0.181818182,11,6.913455568,0,2,Medium Risk,Increase consistency. Focus on weak topics and follow a structured study plan.
S116,88521,200,442.605,96,2.083333333,6.738939647,70,2.08386339,437.5857143,7.481641027,0.1,10,5.578000295,1,2,Medium Risk,Increase consistency. Focus on weak topics and follow a structured study plan.
S117,120266,250,481.064,108,2.314814815,6.232753826,97,1.951507177,490.8041237,7.847555756,0.333333333,9,5.99140387,1,2,Medium Risk,Increase consistency. Focus on weak topics and follow a structured study plan.
S118,56655,120,472.125,81,1.481481481,6.428179892,40,2.027205457,462.15,6.560083827,0.3,10,6.247209968,2,2,Medium Risk,Increase consistency. Focus on weak topics and follow a structured study plan.
S119,129994,280,464.2642857,107,2.61682243,6.362420002,103,2.132758696,487.1456311,6.92884528,0.454545455,11,6.510266686,1,2,Medium Risk,Increase consistency. Focus on weak topics and follow a structured study plan.
S120,157001,340,461.7676471,115,2.956521739,6.527856379,154,2.022561586,443.1103896,7.239160834,0.333333333,6,6.698646069,0,0,Low Risk,Maintain current study habits. Explore advanced materials and optional challenges.
S121,222960,480,464.5,118,4.06779661,6.393587446,201,2.027981051,461.1144279,6.631609522,0.111111111,9,6.448422952,1,0,Low Risk,Maintain current study habits. Explore advanced materials and optional challenges.
S122,187957,390,481.9410256,118,3.305084746,6.497971161,211,2.028879319,481.4218009,6.518404294,0,11,7.505093402,0,0,Low Risk,Maintain current study habits. Explore advanced materials and optional challenges.
S123,146157,300,487.19,115,2.608695652,6.585246441,122,1.907414956,495.7459016,5.551511428,0.5,8,7.081189476,0,0,Low Risk,Maintain current study habits. Explore advanced materials and optional challenges.
S124,100122,210,476.7714286,104,2.019230769,6.550290919,104,2.085079575,479.7403846,7.280150278,0,9,5.446751011,1,2,Medium Risk,Increase consistency. Focus on weak topics and follow a structured study plan.
S125,116499,250,465.996,106,2.358490566,6.493100143,89,2.070306145,424.988764,7.283232333,0.428571429,7,6.718982969,1,2,Medium Risk,Increase consistency. Focus on weak topics and follow a structured study plan.
S126,142036,290,489.7793103,110,2.636363636,6.824653205,132,2.047170472,474.1060606,5.91662492,0.222222222,9,7.979542288,0,0,Low Risk,Maintain current study habits. Explore advanced materials and optional challenges.
S127,168022,380,442.1631579,114,3.333333333,6.56922331,195,2.065234226,455.0205128,7.688167344,0.142857143,7,6.724698359,1,0,Low Risk,Maintain current study habits. Explore advanced materials and optional challenges.
S128,87408,200,437.04,98,2.040816327,6.525745557,61,2.235368333,406.9672131,6.78644868,0.222222222,9,7.192699373,0,2,Medium Risk,Increase consistency. Focus on weak topics and follow a structured study plan.
S129,199547,430,464.0627907,115,3.739130435,6.247174197,161,2.047124858,465.8509317,7.039383663,0,11,8.237151938,0,0,Low Risk,Maintain current study habits. Explore advanced materials and optional challenges.
S130,113128,240,471.3666667,104,2.307692308,6.447993462,92,1.889826104,501.5869565,6.37318834,0,11,4.774074176,3,2,Medium Risk,Increase consistency. Focus on weak topics and follow a structured study plan.
S131,157823,330,478.2515152,113,2.920353982,6.542067199,120,2.056686525,503.9666667,7.219930223,0.083333333,12,7.475109602,0,0,Low Risk,Maintain current study habits. Explore advanced materials and optional challenges.
S132,138514,290,477.6344828,110,2.636363636,6.633903645,110,1.926620208,468.6727273,6.35849644,0.111111111,9,6.762751764,1,0,Low Risk,Maintain current study habits. Explore advanced materials and optional challenges.
S133,177063,380,465.9552632,117,3.247863248,6.237789955,141,1.926349226,453.5531915,7.105783649,0.2,10,6.506215671,0,0,Low Risk,Maintain current study habits. Explore advanced materials and optional challenges.
S134,178173,390,456.8538462,116,3.362068966,6.571201943,138,2.006093673,415,6.703802391,0,11,6.024808977,2,0,Low Risk,Maintain current study habits. Explore advanced materials and optional challenges.
S135,96072,200,480.36,95,2.105263158,6.070922764,81,2.17019762,480.0493827,6.473613659,0.222222222,9,6.671659149,1,2,Medium Risk,Increase consistency. Focus on weak topics and follow a structured study plan.
S136,155290,340,456.7352941,116,2.931034483,6.574791897,120,1.936788257,466.6416667,7.340089722,0,11,5.276344011,2,0,Low Risk,Maintain current study habits. Explore advanced materials and optional challenges.
S137,137854,300,459.5133333,106,2.830188679,6.210685211,136,1.991113479,450.4117647,7.647271182,0.142857143,7,5.442801956,0,0,Low Risk,Maintain current study habits. Explore advanced materials and optional challenges.
S138,155559,330,471.3909091,115,2.869565217,6.725607674,142,1.938717756,482.2464789,6.346381856,0.25,8,7.532707507,0,0,Low Risk,Maintain current study habits. Explore advanced materials and optional challenges.
S139,172456,380,453.8315789,112,3.392857143,6.290095777,148,2.066873038,468.8581081,7.409678481,0.090909091,11,5.773318311,1,0,Low Risk,Maintain current study habits. Explore advanced materials and optional challenges.
S140,131705,290,454.1551724,105,2.761904762,6.559716868,108,2.004975471,472.8796296,6.865818903,0.090909091,11,6.790069071,0,0,Low Risk,Maintain current study habits. Explore advanced materials and optional challenges.
S141,117525,250,470.1,107,2.336448598,6.355705157,105,2.008526733,445.9428571,6.950199541,0.125,8,5.885033819,1,2,Medium Risk,Increase consistency. Focus on weak topics and follow a structured study plan.
S142,160694,340,472.6294118,112,3.035714286,6.061470428,110,1.830534772,481.4545455,6.612566789,0.3,10,5.783923388,1,0,Low Risk,Maintain current study habits. Explore advanced materials and optional challenges.
S143,144567,330,438.0818182,113,2.920353982,6.719928981,139,2.042222244,440.6043165,7.799228111,0.5,6,5.807939696,0,0,Low Risk,Maintain current study habits. Explore advanced materials and optional challenges.
